,Salary,SalaryType,YearsCoding,YearsCodingProf,Currency,SalaryUSD
63707,150000.0,Yearly,21-23 years,18-20 years,U.S. dollars ($),150000.0
63708,1400.0,Monthly,6-8 years,3-5 years,Euros (€),17976.0
63711,80000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),80000.0
63714,500000.0,Yearly,3-5 years,0-2 years,Indian rupees (₹),6000.0
63716,110000.0,Yearly,24-26 years,9-11 years,British pounds sterling (£),136400.0
63718,75000.0,Yearly,18-20 years,18-20 years,Canadian dollars (C$),54750.0
63719,150000.0,Yearly,15-17 years,12-14 years,U.S. dollars ($),150000.0
63725,45000.0,Monthly,6-8 years,3-5 years,Indian rupees (₹),6480.0
63727,6800.0,Monthly,12-14 years,3-5 years,U.S. dollars ($),81600.0
63731,50000.0,Monthly,3-5 years,0-2 years,Russian rubles (₽),6600.0
63735,45000.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),6480.0
63736,30000.0,Yearly,6-8 years,3-5 years,British pounds sterling (£),37200.0
63739,68000.0,Yearly,24-26 years,18-20 years,Euros (€),72760.0
63743,3000000.0,Yearly,6-8 years,6-8 years,Indian rupees (₹),36000.0
63744,45000.0,Yearly,18-20 years,9-11 years,British pounds sterling (£),55800.0
63747,650000.0,Yearly,15-17 years,6-8 years,Norwegian krone (kr),59150.0
63749,2500.0,Monthly,12-14 years,9-11 years,U.S. dollars ($),30000.0
63751,5150.0,Monthly,15-17 years,15-17 years,Euros (€),66126.0
63753,3065.0,Monthly,3-5 years,3-5 years,U.S. dollars ($),36780.0
63754,92000.0,Yearly,6-8 years,0-2 years,U.S. dollars ($),92000.0
63755,126000.0,Yearly,30 or more years,30 or more years,U.S. dollars ($),126000.0
63757,320000.0,Monthly,9-11 years,9-11 years,Japanese yen (¥),24960.0
63758,150000.0,Yearly,30 or more years,21-23 years,U.S. dollars ($),150000.0
63764,155000.0,Monthly,24-26 years,15-17 years,U.S. dollars ($),1860000.0
63765,110000.0,Yearly,6-8 years,0-2 years,U.S. dollars ($),110000.0
63767,610000.0,Yearly,9-11 years,3-5 years,Norwegian krone (kr),55510.0
63768,1300.0,Monthly,6-8 years,3-5 years,Euros (€),16692.0
63769,102000.0,Yearly,15-17 years,9-11 years,U.S. dollars ($),102000.0
63770,5000.0,Monthly,3-5 years,3-5 years,Brazilian reais (R$),11400.0
63771,7200.0,Yearly,6-8 years,0-2 years,Euros (€),7704.0
63772,70000.0,Yearly,24-26 years,12-14 years,British pounds sterling (£),86800.0
63774,54000.0,Yearly,12-14 years,12-14 years,Euros (€),57780.0
63776,85742.0,Yearly,15-17 years,9-11 years,Euros (€),91743.94
63781,38000.0,Yearly,15-17 years,15-17 years,British pounds sterling (£),47120.0
63782,15000.0,Monthly,18-20 years,18-20 years,U.S. dollars ($),180000.0
63786,32000.0,Monthly,12-14 years,3-5 years,British pounds sterling (£),476160.0
63788,108000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),108000.0
63791,620.0,Monthly,3-5 years,0-2 years,Euros (€),7960.800000000001
63792,500000.0,Yearly,3-5 years,0-2 years,Indian rupees (₹),6000.0
63793,152000.0,Yearly,15-17 years,9-11 years,U.S. dollars ($),152000.0
63795,90000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),90000.0
63796,30000.0,Monthly,27-29 years,24-26 years,Swedish kroner (SEK),33120.0
63797,10000.0,Monthly,3-5 years,0-2 years,Chinese yuan renminbi (¥),16800.000000000004
63798,120000.0,Yearly,12-14 years,12-14 years,U.S. dollars ($),120000.0
63801,40000.0,Yearly,9-11 years,9-11 years,Euros (€),42800.0
63804,115000.0,Monthly,12-14 years,3-5 years,Russian rubles (₽),15180.0
63805,53200.0,Yearly,9-11 years,3-5 years,Euros (€),56924.0
63808,89250.0,Yearly,12-14 years,6-8 years,Canadian dollars (C$),65152.5
63809,20000.0,Monthly,6-8 years,0-2 years,Euros (€),256800.0
63810,25000.0,Monthly,9-11 years,9-11 years,Indian rupees (₹),3600.0
63813,120000.0,Yearly,27-29 years,27-29 years,U.S. dollars ($),120000.0
63815,8000.0,Monthly,6-8 years,0-2 years,U.S. dollars ($),96000.0
63816,85000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),85000.0
63820,49000.0,Yearly,30 or more years,30 or more years,Euros (€),52430.0
63821,127500.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),127500.0
63822,70000.0,Yearly,18-20 years,9-11 years,Euros (€),74900.0
63823,47000.0,Yearly,9-11 years,3-5 years,Euros (€),50290.0
63824,140000.0,Yearly,15-17 years,12-14 years,U.S. dollars ($),140000.0
63826,105000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),105000.0
63827,55000.0,Yearly,9-11 years,3-5 years,Canadian dollars (C$),40150.0
63829,900000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),10800.0
63831,25000.0,Monthly,3-5 years,3-5 years,Mexican pesos (MXN$),17700.0
63832,40000.0,Yearly,18-20 years,6-8 years,British pounds sterling (£),49600.0
63835,4800.0,Monthly,12-14 years,6-8 years,Euros (€),61632.0
63841,86000.0,Yearly,27-29 years,24-26 years,U.S. dollars ($),86000.0
63842,47400.0,Yearly,6-8 years,3-5 years,Euros (€),50718.0
63843,135000.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),135000.0
63845,520000.0,Yearly,9-11 years,9-11 years,Norwegian krone (kr),47320.0
63846,22000.0,Monthly,3-5 years,3-5 years,Chinese yuan renminbi (¥),36960.00000000001
63848,35000.0,Yearly,3-5 years,0-2 years,British pounds sterling (£),43400.0
63852,55742.0,Yearly,15-17 years,12-14 years,British pounds sterling (£),69120.08
63858,3500.0,Monthly,21-23 years,9-11 years,Euros (€),44940.0
63860,126500.0,Yearly,24-26 years,21-23 years,U.S. dollars ($),126500.0
63861,9500.0,Monthly,6-8 years,3-5 years,Polish złoty (zł),28500.0
63863,76000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),76000.0
63864,60000.0,Monthly,24-26 years,18-20 years,British pounds sterling (£),892800.0
63865,120000.0,Yearly,12-14 years,12-14 years,U.S. dollars ($),120000.0
63866,42000.0,Yearly,3-5 years,3-5 years,British pounds sterling (£),52080.0
63870,82000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),82000.0
63871,2500.0,Monthly,6-8 years,3-5 years,Euros (€),32100.0
63873,60000.0,Yearly,12-14 years,6-8 years,Euros (€),64200.00000000001
63877,120000.0,Yearly,9-11 years,9-11 years,U.S. dollars ($),120000.0
63879,135000.0,Yearly,30 or more years,30 or more years,Australian dollars (A$),87750.0
63882,95000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),95000.0
63885,3800.0,Monthly,9-11 years,6-8 years,Euros (€),48792.00000000001
63886,5000.0,Monthly,30 or more years,24-26 years,U.S. dollars ($),60000.0
63887,69000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),69000.0
63890,3200.0,Weekly,30 or more years,30 or more years,U.S. dollars ($),166400.0
63891,2500.0,Monthly,3-5 years,3-5 years,Euros (€),32100.0
63892,44000.0,Yearly,18-20 years,12-14 years,Euros (€),47080.0
63894,80000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),80000.0
63897,37000.0,Yearly,9-11 years,9-11 years,Euros (€),39590.0
63901,76000.0,Yearly,27-29 years,18-20 years,Canadian dollars (C$),55480.0
63907,100000.0,Yearly,9-11 years,9-11 years,U.S. dollars ($),100000.0
63911,61031.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),61031.0
63917,85000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),85000.0
63919,325000.0,Yearly,3-5 years,0-2 years,Indian rupees (₹),3900.0
63921,70000.0,Yearly,21-23 years,18-20 years,British pounds sterling (£),86800.0
63924,84000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),84000.0
63925,50000.0,Yearly,12-14 years,9-11 years,Euros (€),53500.0
63927,26000.0,Yearly,6-8 years,3-5 years,British pounds sterling (£),32240.0
63928,6500.0,Monthly,3-5 years,3-5 years,Polish złoty (zł),19500.0
63929,2500.0,Monthly,3-5 years,0-2 years,Euros (€),32100.0
63933,540000.0,Yearly,6-8 years,3-5 years,Swedish kroner (SEK),49680.0
63934,5000.0,Monthly,6-8 years,0-2 years,Danish krone (kr),8400.000000000002
63936,32000.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),4608.0
63939,100000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),100000.0
63944,1.8,Yearly,0-2 years,0-2 years,Indian rupees (₹),0.0216
63947,70400.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),70400.0
63948,2000000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),24000.0
63950,120000.0,Monthly,9-11 years,3-5 years,Russian rubles (₽),15840.0
63951,36000.0,Yearly,12-14 years,3-5 years,British pounds sterling (£),44640.0
63952,66000.0,Yearly,3-5 years,3-5 years,Canadian dollars (C$),48180.0
63953,140000.0,Yearly,9-11 years,9-11 years,U.S. dollars ($),140000.0
63955,50000.0,Yearly,9-11 years,0-2 years,Euros (€),53500.0
63956,16000.0,Monthly,6-8 years,6-8 years,Brazilian reais (R$),36480.0
63957,30000.0,Monthly,0-2 years,0-2 years,Indian rupees (₹),4320.0
63958,41000.0,Yearly,6-8 years,6-8 years,British pounds sterling (£),50840.0
63959,1000000.0,Yearly,12-14 years,9-11 years,Chinese yuan renminbi (¥),140000.0
63962,114000.0,Yearly,15-17 years,9-11 years,U.S. dollars ($),114000.0
63964,51000.0,Yearly,6-8 years,6-8 years,Euros (€),54570.0
63965,26500.0,Yearly,6-8 years,3-5 years,Euros (€),28355.0
63969,5.6,Monthly,9-11 years,3-5 years,Indian rupees (₹),0.8064
63972,22500.0,Yearly,6-8 years,0-2 years,Euros (€),24075.0
63977,37000.0,Yearly,3-5 years,0-2 years,British pounds sterling (£),45880.0
63980,47000.0,Monthly,12-14 years,6-8 years,Euros (€),603480.0
63981,28000.0,Monthly,3-5 years,3-5 years,Euros (€),359520.0
63982,63000.0,Monthly,6-8 years,6-8 years,South African rands (R),39312.0
63985,103000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),103000.0
63986,50000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),50000.0
63998,80000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),80000.0
64000,46000.0,Yearly,30 or more years,21-23 years,British pounds sterling (£),57040.0
64001,3600.0,Monthly,12-14 years,6-8 years,Euros (€),46224.0
64002,60000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),60000.0
64008,130000.0,Yearly,30 or more years,30 or more years,U.S. dollars ($),130000.0
64009,22260.0,Monthly,3-5 years,3-5 years,South African rands (R),13890.24
64012,800000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),9600.0
64013,35000.0,Monthly,15-17 years,6-8 years,British pounds sterling (£),520800.0
64015,90000.0,Yearly,9-11 years,9-11 years,U.S. dollars ($),90000.0
64016,44000.0,Yearly,30 or more years,12-14 years,British pounds sterling (£),54560.0
64020,112000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),112000.0
64023,90000.0,Yearly,12-14 years,3-5 years,U.S. dollars ($),90000.0
64026,50000.0,Yearly,9-11 years,6-8 years,British pounds sterling (£),62000.0
64028,42000.0,Weekly,6-8 years,0-2 years,U.S. dollars ($),2184000.0
64032,30000.0,Yearly,6-8 years,3-5 years,British pounds sterling (£),37200.0
64040,1500000.0,Yearly,9-11 years,9-11 years,Indian rupees (₹),18000.0
64041,71000.0,Weekly,6-8 years,3-5 years,U.S. dollars ($),3692000.0
64042,96000.0,Monthly,6-8 years,3-5 years,Canadian dollars (C$),840960.0
64043,1400000.0,Yearly,6-8 years,6-8 years,Indian rupees (₹),16800.0
64047,65000.0,Monthly,12-14 years,9-11 years,Euros (€),834600.0
64048,75000.0,Yearly,9-11 years,6-8 years,Euros (€),80250.0
64050,1300.0,Monthly,9-11 years,3-5 years,U.S. dollars ($),15600.0
64054,34000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),34000.0
64055,11000.0,Monthly,3-5 years,3-5 years,Brazilian reais (R$),25080.0
64063,600.0,Monthly,9-11 years,6-8 years,U.S. dollars ($),7200.0
64064,130000.0,Yearly,15-17 years,9-11 years,U.S. dollars ($),130000.0
64065,140000.0,Yearly,15-17 years,9-11 years,Canadian dollars (C$),102200.0
64067,85000.0,Yearly,15-17 years,15-17 years,British pounds sterling (£),105400.0
64068,70000.0,Yearly,18-20 years,9-11 years,Euros (€),74900.0
64071,3300.0,Monthly,6-8 years,6-8 years,Euros (€),42372.0
64075,720000.0,Yearly,18-20 years,15-17 years,Norwegian krone (kr),65520.0
64082,40000.0,Monthly,12-14 years,0-2 years,Swedish kroner (SEK),44160.0
64084,45000.0,Yearly,3-5 years,3-5 years,Euros (€),48150.0
64086,38000.0,Yearly,3-5 years,3-5 years,Euros (€),40660.0
64087,30000.0,Yearly,9-11 years,6-8 years,British pounds sterling (£),37200.0
64091,21000.0,Weekly,0-2 years,0-2 years,Indian rupees (₹),13104.0
64097,30000.0,Yearly,3-5 years,0-2 years,British pounds sterling (£),37200.0
64100,4000.0,Monthly,9-11 years,9-11 years,Brazilian reais (R$),9120.0
64103,30000.0,Monthly,6-8 years,3-5 years,Euros (€),385200.00000000006
64104,4000.0,Monthly,27-29 years,18-20 years,Euros (€),51360.0
64105,120000.0,Yearly,27-29 years,12-14 years,U.S. dollars ($),120000.0
64107,35000.0,Monthly,3-5 years,0-2 years,British pounds sterling (£),520800.0
64109,105000.0,Yearly,15-17 years,6-8 years,U.S. dollars ($),105000.0
64110,61000.0,Yearly,9-11 years,6-8 years,Euros (€),65270.00000000001
64111,10500.0,Monthly,3-5 years,3-5 years,Polish złoty (zł),31500.0
64112,105000.0,Yearly,12-14 years,9-11 years,Australian dollars (A$),68250.0
64113,98000.0,Weekly,30 or more years,21-23 years,Canadian dollars (C$),3720080.0
64114,50000.0,Yearly,6-8 years,3-5 years,Euros (€),53500.0
64115,1000.0,Monthly,0-2 years,0-2 years,Brazilian reais (R$),2280.0
64117,130000.0,Yearly,24-26 years,18-20 years,U.S. dollars ($),130000.0
64118,3000.0,Monthly,3-5 years,3-5 years,Euros (€),38520.0
64120,600000.0,Yearly,9-11 years,3-5 years,Indian rupees (₹),7200.0
64122,138000.0,Monthly,3-5 years,0-2 years,Russian rubles (₽),18216.0
64128,225000.0,Yearly,15-17 years,15-17 years,Canadian dollars (C$),164250.0
64130,7000.0,Monthly,21-23 years,21-23 years,Euros (€),89880.0
64134,450000.0,Yearly,9-11 years,0-2 years,Indian rupees (₹),5400.0
64138,50000.0,Yearly,9-11 years,9-11 years,British pounds sterling (£),62000.0
64139,143000.0,Yearly,6-8 years,3-5 years,Australian dollars (A$),92950.0
64141,400.0,Weekly,3-5 years,0-2 years,U.S. dollars ($),20800.0
64144,112000.0,Yearly,30 or more years,27-29 years,U.S. dollars ($),112000.0
64147,36000.0,Yearly,9-11 years,3-5 years,Euros (€),38520.0
64149,840.0,Monthly,3-5 years,3-5 years,Euros (€),10785.6
64152,15000.0,Monthly,0-2 years,0-2 years,Indian rupees (₹),2160.0
64156,125000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),125000.0
64158,104000.0,Yearly,18-20 years,12-14 years,U.S. dollars ($),104000.0
64162,13000.0,Monthly,3-5 years,3-5 years,Chinese yuan renminbi (¥),21840.000000000004
64164,575000.0,Yearly,6-8 years,3-5 years,Indian rupees (₹),6900.0
64165,700.0,Monthly,3-5 years,0-2 years,Euros (€),8988.0
64166,140000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),140000.0
64167,15000.0,Yearly,0-2 years,0-2 years,British pounds sterling (£),18600.0
64168,4000.0,Monthly,9-11 years,0-2 years,Brazilian reais (R$),9120.0
64170,74000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),74000.0
64173,993000.0,Yearly,9-11 years,9-11 years,Indian rupees (₹),11916.0
64179,180000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),180000.0
64181,12500.0,Monthly,3-5 years,0-2 years,Mexican pesos (MXN$),8850.0
64187,154600.0,Yearly,6-8 years,0-2 years,U.S. dollars ($),154600.0
64190,2700000.0,Yearly,12-14 years,9-11 years,Indian rupees (₹),32400.0
64195,130000.0,Monthly,21-23 years,9-11 years,Australian dollars (A$),1014000.0
64196,90000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),90000.0
64198,100000.0,Yearly,6-8 years,0-2 years,U.S. dollars ($),100000.0
64201,500.0,Monthly,9-11 years,3-5 years,U.S. dollars ($),6000.0
64202,1100.0,Weekly,3-5 years,0-2 years,U.S. dollars ($),57200.0
64204,78000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),78000.0
64207,70000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),70000.0
64209,100000.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),14400.0
64214,90000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),90000.0
64215,40000.0,Yearly,18-20 years,12-14 years,Euros (€),42800.0
64216,9000.0,Monthly,3-5 years,0-2 years,Russian rubles (₽),1188.0
64219,42000.0,Yearly,9-11 years,6-8 years,Euros (€),44940.0
64220,20000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),20000.0
64222,57000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),57000.0
64223,90000.0,Yearly,12-14 years,9-11 years,Euros (€),96300.0
64225,70000.0,Yearly,9-11 years,9-11 years,British pounds sterling (£),86800.0
64229,3300.0,Monthly,6-8 years,6-8 years,Euros (€),42372.0
64234,30000.0,Yearly,30 or more years,15-17 years,Euros (€),32100.000000000004
64235,400.0,Weekly,0-2 years,0-2 years,U.S. dollars ($),20800.0
64236,73000.0,Yearly,6-8 years,3-5 years,Australian dollars (A$),47450.0
64237,3800.0,Monthly,3-5 years,3-5 years,Euros (€),48792.00000000001
64238,2387.0,Monthly,6-8 years,0-2 years,Euros (€),30649.08
64239,105000.0,Yearly,9-11 years,6-8 years,Australian dollars (A$),68250.0
64241,600.0,Monthly,0-2 years,0-2 years,Euros (€),7704.0
64242,4000.0,Monthly,9-11 years,3-5 years,Polish złoty (zł),12000.0
64245,2660.0,Monthly,6-8 years,0-2 years,Euros (€),34154.4
64246,120000.0,Yearly,6-8 years,3-5 years,Polish złoty (zł),30000.0
64247,72500.0,Yearly,6-8 years,0-2 years,U.S. dollars ($),72500.0
64249,39500.0,Monthly,6-8 years,3-5 years,Swedish kroner (SEK),43608.0
64250,3500.0,Monthly,15-17 years,6-8 years,Euros (€),44940.0
64251,56000.0,Monthly,6-8 years,6-8 years,Euros (€),719040.0
64252,60000.0,Monthly,9-11 years,6-8 years,Euros (€),770400.0000000001
64253,300000.0,Monthly,30 or more years,18-20 years,Russian rubles (₽),39600.0
64257,3750.0,Monthly,6-8 years,3-5 years,Euros (€),48150.00000000001
64258,30500.0,Yearly,6-8 years,3-5 years,Euros (€),32635.000000000004
64260,107000.0,Yearly,6-8 years,6-8 years,Canadian dollars (C$),78110.0
64263,115000.0,Yearly,21-23 years,12-14 years,U.S. dollars ($),115000.0
64264,81000.0,Yearly,15-17 years,12-14 years,British pounds sterling (£),100440.0
64267,80000.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),80000.0
64269,40000.0,Monthly,6-8 years,3-5 years,Mexican pesos (MXN$),28320.0
64270,51000.0,Yearly,6-8 years,3-5 years,Euros (€),54570.0
64271,43000.0,Yearly,6-8 years,3-5 years,British pounds sterling (£),53320.0
64275,65000.0,Monthly,18-20 years,6-8 years,Danish krone (kr),109200.0
64276,160000.0,Monthly,27-29 years,21-23 years,U.S. dollars ($),1920000.0
64277,70000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),70000.0
64279,60000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),60000.0
64284,20000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),20000.0
64285,51500.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),51500.0
64286,65000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),65000.0
64287,12000.0,Monthly,15-17 years,12-14 years,Brazilian reais (R$),27360.0
64288,25000.0,Yearly,6-8 years,3-5 years,British pounds sterling (£),31000.0
64289,139500.0,Weekly,15-17 years,9-11 years,U.S. dollars ($),7254000.0
64293,10500.0,Monthly,6-8 years,6-8 years,Polish złoty (zł),31500.0
64296,95000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),95000.0
64298,3500.0,Monthly,24-26 years,15-17 years,Euros (€),44940.0
64299,60000.0,Yearly,12-14 years,12-14 years,British pounds sterling (£),74400.0
64301,65000.0,Yearly,9-11 years,27-29 years,Canadian dollars (C$),47450.0
64303,750.0,Monthly,3-5 years,0-2 years,U.S. dollars ($),9000.0
64304,85000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),85000.0
64311,2415.0,Monthly,3-5 years,0-2 years,Brazilian reais (R$),5506.200000000001
64313,85000.0,Yearly,6-8 years,3-5 years,Canadian dollars (C$),62050.0
64317,120000.0,Yearly,12-14 years,12-14 years,U.S. dollars ($),120000.0
64318,112320.0,Yearly,18-20 years,12-14 years,U.S. dollars ($),112320.0
64319,87000.0,Yearly,21-23 years,21-23 years,British pounds sterling (£),107880.0
64322,2500.0,Monthly,6-8 years,6-8 years,U.S. dollars ($),30000.0
64323,94430.0,Yearly,21-23 years,24-26 years,U.S. dollars ($),94430.0
64325,120000.0,Monthly,3-5 years,3-5 years,Russian rubles (₽),15840.0
64327,50000.0,Monthly,6-8 years,6-8 years,Indian rupees (₹),7200.0
64330,55000.0,Yearly,6-8 years,0-2 years,Australian dollars (A$),35750.0
64331,500.0,Monthly,0-2 years,15-17 years,U.S. dollars ($),6000.0
64332,55000.0,Monthly,6-8 years,6-8 years,British pounds sterling (£),818400.0
64338,3000.0,Monthly,21-23 years,6-8 years,Euros (€),38520.0
64339,75000.0,Yearly,12-14 years,6-8 years,British pounds sterling (£),93000.0
64341,90000.0,Yearly,30 or more years,30 or more years,U.S. dollars ($),90000.0
64342,21000.0,Yearly,0-2 years,0-2 years,Euros (€),22470.0
64344,120000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),120000.0
64345,900000.0,Yearly,12-14 years,9-11 years,Indian rupees (₹),10800.0
64347,156000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),156000.0
64348,110000.0,Yearly,21-23 years,15-17 years,U.S. dollars ($),110000.0
64349,126039.0,Yearly,21-23 years,21-23 years,U.S. dollars ($),126039.0
64352,49200.0,Yearly,9-11 years,9-11 years,British pounds sterling (£),61008.0
64356,62000.0,Yearly,3-5 years,3-5 years,Canadian dollars (C$),45260.0
64357,300000.0,Yearly,6-8 years,0-2 years,Indian rupees (₹),3600.0
64359,115000.0,Yearly,12-14 years,3-5 years,U.S. dollars ($),115000.0
64360,135000.0,Monthly,9-11 years,6-8 years,Russian rubles (₽),17820.0
64363,900.0,Monthly,3-5 years,0-2 years,U.S. dollars ($),10800.0
64364,20000.0,Monthly,6-8 years,0-2 years,Indian rupees (₹),2880.0
64365,41000.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),5904.0
64367,2600.0,Monthly,6-8 years,3-5 years,Euros (€),33384.0
64368,17000.0,Monthly,6-8 years,0-2 years,Mexican pesos (MXN$),12036.0
64370,48000.0,Monthly,6-8 years,6-8 years,Danish krone (kr),80640.00000000001
64373,71000.0,Yearly,6-8 years,3-5 years,Canadian dollars (C$),51830.0
64374,2700.0,Monthly,6-8 years,3-5 years,Euros (€),34668.0
64381,18000.0,Yearly,12-14 years,12-14 years,U.S. dollars ($),18000.0
64388,85000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),85000.0
64390,110000.0,Yearly,6-8 years,6-8 years,U.S. dollars ($),110000.0
64393,2500.0,Monthly,6-8 years,3-5 years,Euros (€),32100.0
64395,74000.0,Yearly,15-17 years,15-17 years,Euros (€),79180.0
64396,10000.0,Monthly,3-5 years,3-5 years,U.S. dollars ($),120000.0
64397,278960.0,Yearly,3-5 years,0-2 years,Indian rupees (₹),3347.52
64398,35000.0,Monthly,3-5 years,0-2 years,Russian rubles (₽),4620.0
64399,70000.0,Yearly,12-14 years,0-2 years,U.S. dollars ($),70000.0
64400,38500.0,Monthly,12-14 years,12-14 years,Danish krone (kr),64680.000000000015
64401,32000.0,Yearly,12-14 years,6-8 years,Euros (€),34240.0
64402,480000.0,Yearly,6-8 years,3-5 years,Indian rupees (₹),5760.0
64405,115000.0,Yearly,9-11 years,0-2 years,U.S. dollars ($),115000.0
64407,19000.0,Monthly,6-8 years,6-8 years,Polish złoty (zł),57000.0
64408,26000.0,Yearly,9-11 years,6-8 years,Euros (€),27820.0
64409,130000.0,Yearly,21-23 years,18-20 years,British pounds sterling (£),161200.0
64412,143000.0,Yearly,30 or more years,27-29 years,British pounds sterling (£),177320.0
64413,7830.0,Monthly,3-5 years,3-5 years,U.S. dollars ($),93960.0
64414,150000.0,Yearly,27-29 years,24-26 years,U.S. dollars ($),150000.0
64415,105000.0,Yearly,15-17 years,15-17 years,Australian dollars (A$),68250.0
64416,3864.0,Weekly,9-11 years,6-8 years,U.S. dollars ($),200928.0
64417,19200.0,Monthly,6-8 years,3-5 years,Swedish kroner (SEK),21196.8
64421,2400.0,Monthly,9-11 years,6-8 years,Euros (€),30816.0
64422,10000.0,Monthly,6-8 years,0-2 years,Mexican pesos (MXN$),7080.0
64424,55000.0,Yearly,15-17 years,15-17 years,British pounds sterling (£),68200.0
64426,30000.0,Monthly,3-5 years,0-2 years,Russian rubles (₽),3960.0
64430,7800.0,Monthly,6-8 years,6-8 years,Brazilian reais (R$),17784.0
64431,41000.0,Monthly,21-23 years,15-17 years,Swedish kroner (SEK),45264.0
64432,40000.0,Yearly,0-2 years,0-2 years,Canadian dollars (C$),29200.0
64433,15000.0,Monthly,0-2 years,0-2 years,South African rands (R),9360.0
64434,35000.0,Yearly,0-2 years,0-2 years,British pounds sterling (£),43400.0
64435,80000.0,Monthly,3-5 years,3-5 years,Russian rubles (₽),10560.0
64442,120285.0,Yearly,9-11 years,9-11 years,U.S. dollars ($),120285.0
64447,88500.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),88500.0
64450,360000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),4320.0
64451,102000.0,Yearly,18-20 years,15-17 years,U.S. dollars ($),102000.0
64455,70000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),70000.0
64461,91000.0,Yearly,24-26 years,21-23 years,Canadian dollars (C$),66430.0
64464,5000.0,Monthly,9-11 years,6-8 years,Euros (€),64200.0
64473,72600.0,Monthly,30 or more years,18-20 years,Swedish kroner (SEK),80150.4
64474,210000.0,Yearly,6-8 years,3-5 years,Chinese yuan renminbi (¥),29400.000000000004
64476,93000.0,Yearly,18-20 years,12-14 years,Canadian dollars (C$),67890.0
64477,47500.0,Yearly,18-20 years,9-11 years,Euros (€),50825.0
64478,2758620.0,Yearly,9-11 years,9-11 years,Russian rubles (₽),30344.82
64479,38250.0,Monthly,9-11 years,3-5 years,British pounds sterling (£),569160.0
64480,65000.0,Yearly,9-11 years,9-11 years,Euros (€),69550.0
64481,19500.0,Monthly,3-5 years,0-2 years,Euros (€),250380.0
64482,62400.0,Yearly,9-11 years,9-11 years,British pounds sterling (£),77376.0
64483,53000.0,Yearly,30 or more years,18-20 years,Euros (€),56710.0
64484,60000.0,Yearly,6-8 years,6-8 years,Euros (€),64200.00000000001
64488,300000.0,Yearly,12-14 years,12-14 years,Chinese yuan renminbi (¥),42000.00000000001
64489,64000.0,Weekly,3-5 years,0-2 years,U.S. dollars ($),3328000.0
64490,43350.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),6242.400000000001
